﻿date,instrument,tenor,yield
46164,국고채,4,3.891
46164,국고채,5,3.957
46164,국고채,7,4.075
46164,국고채,10,4.126
46164,국고채,15,4.169
46164,국고채,20,4.205
46164,국고채,30,4.15
46163,국고채,0.25,2.635
46163,국고채,0.5,2.74
46163,국고채,0.75,2.912
46163,국고채,1,3.171
46163,국고채,1.5,3.358
46163,국고채,2,3.603
46163,국고채,2.5,3.651
46163,국고채,3,3.755
46163,국고채,4,3.93
46163,국고채,5,3.99
46163,국고채,7,4.118
46163,국고채,10,4.182
46163,국고채,15,4.21
46163,국고채,20,4.23
46163,국고채,30,4.184
46162,국고채,0.25,2.635
46162,국고채,0.5,2.74
46162,국고채,0.75,2.915
46162,국고채,1,3.173
46162,국고채,1.5,3.357
46162,국고채,2,3.61
46162,국고채,2.5,3.656
46162,국고채,3,3.758
46162,국고채,4,3.931
46162,국고채,5,3.975
46162,국고채,7,4.119
46162,국고채,10,4.195
46162,국고채,15,4.217
46162,국고채,20,4.23
46162,국고채,30,4.185
46161,국고채,0.25,2.635
46161,국고채,0.5,2.74
46161,국고채,0.75,2.915
46161,국고채,1,3.168
46161,국고채,1.5,3.349
46161,국고채,2,3.6
46161,국고채,2.5,3.648
46161,국고채,3,3.75
46161,국고채,4,3.917
46161,국고채,5,3.965
46161,국고채,7,4.119
46161,국고채,10,4.205
46161,국고채,15,4.235
46161,국고채,20,4.255
46161,국고채,30,4.197
46160,국고채,0.25,2.635
46160,국고채,0.5,2.74
46160,국고채,0.75,2.886
46160,국고채,1,3.161
46160,국고채,1.5,3.349
46160,국고채,2,3.6
46160,국고채,2.5,3.651
46160,국고채,3,3.757
46160,국고채,4,3.932
46160,국고채,5,3.992
46160,국고채,7,4.146
46160,국고채,10,4.247
46160,국고채,15,4.264
46160,국고채,20,4.27
46160,국고채,30,4.197
46157,국고채,0.25,2.641
46157,국고채,0.5,2.746
46157,국고채,0.75,2.893
46157,국고채,1,3.169
46157,국고채,1.5,3.353
46157,국고채,2,3.61
46157,국고채,2.5,3.66
46157,국고채,3,3.765
46157,국고채,4,3.941
46157,국고채,5,4.005
46157,국고채,7,4.14
46157,국고채,10,4.22
46157,국고채,15,4.218
46157,국고채,20,4.211
46157,국고채,30,4.135
46156,국고채,0.25,2.615
46156,국고채,0.5,2.713
46156,국고채,0.75,2.861
46156,국고채,1,3.121
46156,국고채,1.5,3.298
46156,국고채,2,3.505
46156,국고채,2.5,3.549
46156,국고채,3,3.657
46156,국고채,4,3.831
46156,국고채,5,3.89
46156,국고채,7,4.001
46156,국고채,10,4.087
46156,국고채,15,4.09
46156,국고채,20,4.09
46156,국고채,30,4
46155,국고채,0.25,2.611
46155,국고채,0.5,2.706
46155,국고채,0.75,2.843
46155,국고채,1,3.096
46155,국고채,1.5,3.294
46155,국고채,2,3.504
46155,국고채,2.5,3.53
46155,국고채,3,3.642
46155,국고채,4,3.81
46155,국고채,5,3.86
46155,국고채,7,3.971
46155,국고채,10,4.055
46155,국고채,15,4.055
46155,국고채,20,4.052
46155,국고채,30,3.97
46154,국고채,0.25,2.611
46154,국고채,0.5,2.705
46154,국고채,0.75,2.842
46154,국고채,1,3.094
46154,국고채,1.5,3.318
46154,국고채,2,3.55
46154,국고채,2.5,3.57
46154,국고채,3,3.68
46154,국고채,4,3.834
46154,국고채,5,3.876
46154,국고채,7,3.985
46154,국고채,10,4.065
46154,국고채,15,4.07
46154,국고채,20,4.07
46154,국고채,30,3.975
46153,국고채,0.25,2.601
46153,국고채,0.5,2.701
46153,국고채,0.75,2.811
46153,국고채,1,3.05
46153,국고채,1.5,3.28
46153,국고채,2,3.484
46153,국고채,2.5,3.504
46153,국고채,3,3.592
46153,국고채,4,3.735
46153,국고채,5,3.772
46153,국고채,7,3.875
46153,국고채,10,3.95
46153,국고채,15,3.944
46153,국고채,20,3.937
46153,국고채,30,3.848
46150,국고채,0.25,2.601
46150,국고채,0.5,2.691
46150,국고채,0.75,2.801
46150,국고채,1,3.01
46150,국고채,1.5,3.253
46150,국고채,2,3.449
46150,국고채,2.5,3.47
46150,국고채,3,3.561
46150,국고채,4,3.7
46150,국고채,5,3.735
46150,국고채,7,3.828
46150,국고채,10,3.904
46150,국고채,15,3.904
46150,국고채,20,3.905
46150,국고채,30,3.835
46149,국고채,0.25,2.6
46149,국고채,0.5,2.69
46149,국고채,0.75,2.8
46149,국고채,1,3.008
46149,국고채,1.5,3.245
46149,국고채,2,3.431
46149,국고채,2.5,3.442
46149,국고채,3,3.535
46149,국고채,4,3.68
46149,국고채,5,3.717
46149,국고채,7,3.802
46149,국고채,10,3.876
46149,국고채,15,3.882
46149,국고채,20,3.892
46149,국고채,30,3.817
46148,국고채,0.25,2.606
46148,국고채,0.5,2.69
46148,국고채,0.75,2.81
46148,국고채,1,3.02
46148,국고채,1.5,3.265
46148,국고채,2,3.495
46148,국고채,2.5,3.522
46148,국고채,3,3.596
46148,국고채,4,3.75
46148,국고채,5,3.786
46148,국고채,7,3.866
46148,국고채,10,3.935
46148,국고채,15,3.929
46148,국고채,20,3.932
46148,국고채,30,3.851
46146,국고채,0.25,2.606
46146,국고채,0.5,2.69
46146,국고채,0.75,2.81
46146,국고채,1,3.02
46146,국고채,1.5,3.278
46146,국고채,2,3.515
46146,국고채,2.5,3.55
46146,국고채,3,3.615
46146,국고채,4,3.767
46146,국고채,5,3.796
46146,국고채,7,3.871
46146,국고채,10,3.933
46146,국고채,15,3.917
46146,국고채,20,3.904
46146,국고채,30,3.815
46142,국고채,0.25,2.621
46142,국고채,0.5,2.701
46142,국고채,0.75,2.808
46142,국고채,1,3.02
46142,국고채,1.5,3.267
46142,국고채,2,3.485
46142,국고채,2.5,3.53
46142,국고채,3,3.593
46142,국고채,4,3.75
46142,국고채,5,3.775
46142,국고채,7,3.851
46142,국고채,10,3.915
46142,국고채,15,3.889
46142,국고채,20,3.865
46142,국고채,30,3.785
46141,국고채,0.25,2.618
46141,국고채,0.5,2.698
46141,국고채,0.75,2.806
46141,국고채,1,2.99
46141,국고채,1.5,3.228
46141,국고채,2,3.405
46141,국고채,2.5,3.45
46141,국고채,3,3.525
46141,국고채,4,3.682
46141,국고채,5,3.702
46141,국고채,7,3.78
46141,국고채,10,3.842
46141,국고채,15,3.806
46141,국고채,20,3.777
46141,국고채,30,3.69
46140,국고채,0.25,2.615
46140,국고채,0.5,2.698
46140,국고채,0.75,2.8
46140,국고채,1,2.99
46140,국고채,1.5,3.231
46140,국고채,2,3.41
46140,국고채,2.5,3.455
46140,국고채,3,3.53
46140,국고채,4,3.689
46140,국고채,5,3.715
46140,국고채,7,3.795
46140,국고채,10,3.865
46140,국고채,15,3.833
46140,국고채,20,3.795
46140,국고채,30,3.712
46139,국고채,0.25,2.615
46139,국고채,0.5,2.698
46139,국고채,0.75,2.798
46139,국고채,1,2.986
46139,국고채,1.5,3.221
46139,국고채,2,3.38
46139,국고채,2.5,3.42
46139,국고채,3,3.497
46139,국고채,4,3.653
46139,국고채,5,3.677
46139,국고채,7,3.752
46139,국고채,10,3.82
46139,국고채,15,3.792
46139,국고채,20,3.76
46139,국고채,30,3.677
46136,국고채,0.25,2.621
46136,국고채,0.5,2.705
46136,국고채,0.75,2.806
46136,국고채,1,2.985
46136,국고채,1.5,3.226
46136,국고채,2,3.384
46136,국고채,2.5,3.419
46136,국고채,3,3.495
46136,국고채,4,3.653
46136,국고채,5,3.681
46136,국고채,7,3.748
46136,국고채,10,3.815
