﻿표준코드,종목명,발행일,만기일,인포맥스대분류,전일민평,전전일민평,변동,듀레이션,축약
KRC035LP5299,국고채원금01240-5209(22-9),2022-08-29,55772,국채,4.636,4.674,-3.80000000000003,24.958,
KRC035LP5331,국고채원금01230-5303(23-2),2023-02-08,55953,국채,4.629,4.667,-3.80000000000003,25.4336,
KRC0350C5333,국고채이자01230-5303,2016-10-12,55953,국채,4.629,4.667,-3.80000000000003,25.4336,
KR103502GD31,국고03250-5303(23-2),2023-03-10,55953,국채,4.531,4.569,-3.80000000000003,16.258,'23-2
KR103502GD98,국고03625-5309(23-7),2023-09-10,56137,국채,4.534,4.572,-3.80000000000003,16.0175,'23-7
KRC0350C5390,국고채이자01230-5309,2016-10-12,56137,국채,4.63,4.666,-3.60000000000005,25.9152,
KRC035LP5398,국고채원금01230-5309(23-7),2023-08-02,56137,국채,4.63,4.666,-3.60000000000005,25.9152,
KR103502GE30,국고03250-5403(24-2),2024-03-10,56318,국채,4.524,4.559,-3.50000000000001,16.5783,'24-2
KRC0350C5432,국고채이자01230-5403,2016-10-12,56318,국채,4.613,4.648,-3.49999999999993,26.3934,
KRC035LP5430,국고채원금01230-5403(24-2),2024-03-19,56318,국채,4.613,4.648,-3.49999999999993,26.3934,
KR103502GE97,국고02750-5409(24-8),2024-09-10,56502,국채,4.519,4.555,-3.59999999999996,17.3796,'24-8
KRC035LP5497,국고채원금01220-5409(24-8),2024-09-26,56502,국채,4.604,4.638,-3.39999999999998,26.8776,
KRC0350C5499,국고채이자01220-5409,2016-10-12,56502,국채,4.604,4.638,-3.39999999999998,26.8776,
KR103502GF39,국고02625-5503(25-2),2025-03-10,56683,국채,4.517,4.553,-3.59999999999996,17.7241,'25-2
KRC035LP5539,국고채원금01220-5503(25-2),2025-03-10,56683,국채,4.6,4.633,-3.30000000000004,27.3527,
KRC0350C5531,국고채이자01220-5503,2016-10-12,56683,국채,4.6,4.633,-3.30000000000004,27.3527,
KR103502GF96,국고02625-5509(25-7),2025-09-10,56867,국채,4.515,4.55,-3.50000000000001,17.8803,'25-7
KRC0350C5598,국고채이자01210-5509,2016-10-12,56867,국채,4.598,4.631,-3.30000000000004,27.8352,
KRC035LP5596,국고채원금01210-5509(25-7),2025-09-03,56867,국채,4.598,4.631,-3.30000000000004,27.8352,
KR103501GG39,국고03500-5603(26-2),2026-03-10,57049,국채,4.515,4.55,-3.50000000000001,16.8857,'26-2
KRC0350C5630,국고채이자01210-5603,2016-10-12,57049,국채,4.597,4.629,-3.19999999999991,28.3096,
KRC035LP5638,국고채원금01210-5603(26-2),2026-04-06,57049,국채,4.597,4.629,-3.19999999999991,28.3096,
KRC0350C5697,국고채이자01200-5609,2016-10-12,57233,국채,4.6,4.632,-3.2,28.7907,
KRC0350C5739,국고채이자01200-5703,2016-10-12,57414,국채,4.594,4.625,-3.09999999999997,29.2665,
KRC0350C5796,국고채이자01190-5709,2016-10-12,57598,국채,4.588,4.619,-3.09999999999997,29.7501,
KRC0350C5838,국고채이자01190-5803,2016-10-12,57779,국채,4.583,4.615,-3.2,30.2257,
KRC0350C5895,국고채이자01180-5809,2016-10-12,57963,국채,4.576,4.608,-3.2,30.7098,
KRC0350C5937,국고채이자01180-5903,2016-10-12,58144,국채,4.568,4.6,-3.2,31.1864,
KRC0350C5994,국고채이자01180-5909,2016-10-12,58328,국채,4.562,4.594,-3.2,31.6703,
KRC0350C6034,국고채이자01170-6003,2016-10-12,58510,국채,4.557,4.59,-3.29999999999995,32.1461,
KRC0350C6091,국고채이자01170-6009,2016-10-12,58694,국채,4.552,4.585,-3.30000000000004,32.6298,
KRC0350C6133,국고채이자01160-6103,2016-10-12,58875,국채,4.546,4.58,-3.39999999999998,33.106,
KRC0350C6190,국고채이자01160-6109,2016-10-12,59059,국채,4.54,4.574,-3.39999999999998,33.5901,
KRC0350C6232,국고채이자01150-6203,2016-10-12,59240,국채,4.533,4.567,-3.39999999999998,34.0667,
KRC0350C6299,국고채이자01150-6209,2016-10-12,59424,국채,4.524,4.558,-3.39999999999998,34.5519,
KRC0350C6331,국고채이자01150-6303,2016-10-12,59605,국채,4.516,4.55,-3.39999999999998,35.029,
KRC0350C6398,국고채이자01140-6309,2016-10-12,59789,국채,4.509,4.543,-3.39999999999998,35.5138,
KRC0350C6430,국고채이자01140-6403,2016-10-12,59971,국채,4.502,4.536,-3.39999999999998,35.9907,
KRC0350C6497,국고채이자01130-6409,2016-10-12,60155,국채,4.494,4.529,-3.50000000000001,36.4758,
KRC0350C6539,국고채이자01130-6503,2016-10-12,60336,국채,4.487,4.521,-3.39999999999998,36.9529,
KRC0350C6596,국고채이자01120-6509,2016-10-12,60520,국채,4.481,4.515,-3.39999999999998,37.4375,
KRC0350C6638,국고채이자01120-6603,2016-10-12,60701,국채,4.474,4.508,-3.39999999999998,37.9147,
KRC035RP6697,국고채원금01120-6609(16-9),2016-10-12,60885,국채,4.464,4.498,-3.39999999999998,38.4009,
KRC0350C6695,국고채이자01120-6609,2016-10-12,60885,국채,4.464,4.498,-3.39999999999998,38.4009,
KR103503G691,국고01500-6609(16-9),2016-09-10,60885,국채,4.445,4.48,-3.50000000000001,23.5279,'16-9
KRC0350C6737,국고채이자01310-6703,2018-09-14,61066,국채,4.457,4.489,-3.2,38.8782,
KRC0350C6794,국고채이자01300-6709,2018-09-14,61250,국채,4.449,4.482,-3.30000000000004,39.3638,
KRC0350C6836,국고채이자01300-6803,2018-09-14,61432,국채,4.444,4.476,-3.2,39.8404,
KRC035RP6895,국고채원금01290-6809(18-8),2018-09-14,61616,국채,4.438,4.47,-3.2,40.3254,
KRC0350C6893,국고채이자01290-6809,2018-09-14,61616,국채,4.438,4.47,-3.2,40.3254,
KR103503G899,국고02000-6809(18-8),2018-09-10,61616,국채,4.437,4.472,-3.50000000000001,22.2465,'18-8
KRC0350C6935,국고채이자01140-6903,2020-10-20,61797,국채,4.433,4.466,-3.30000000000004,40.8022,
KRC0350C6992,국고채이자01140-6909,2020-10-20,61981,국채,4.425,4.457,-3.2,41.2881,
KRC0350C7032,국고채이자01140-7003,2020-10-20,62162,국채,4.418,4.451,-3.29999999999995,41.7657,
KR103503GA90,국고01625-7009(20-10),2020-09-10,62346,국채,4.428,4.463,-3.50000000000001,23.7562,'20-10
KRC035RP7091,국고채원금01130-7009(20-10),2020-10-20,62346,국채,4.411,4.443,-3.2,42.2514,
KRC0350C7099,국고채이자01130-7009,2020-10-20,62346,국채,4.411,4.443,-3.2,42.2514,
KRC0350C7131,국고채이자01670-7103,2022-09-20,62527,국채,4.4,4.432,-3.2,42.7308,
KRC0350C7198,국고채이자01660-7109,2022-09-20,62711,국채,4.395,4.427,-3.2,43.2157,
KRC0350C7230,국고채이자01650-7203,2022-09-20,62893,국채,4.388,4.42,-3.2,43.6937,
KRC0350C7297,국고채이자01630-7209,2022-09-20,63077,국채,4.384,4.416,-3.2,44.1783,
KR103505GC96,국고03500-7209(22-12),2022-09-10,63077,국채,4.422,4.457,-3.50000000000001,20.1388,'22-12
KRC035RP7299,국고채원금01630-7209(22-12),2022-09-20,63077,국채,4.384,4.416,-3.2,44.1783,
KRC0350C7339,국고채이자01500-7303,2024-09-20,63258,국채,4.379,4.411,-3.2,44.6555,
KRC0350C7396,국고채이자01490-7309,2024-09-20,63442,국채,4.374,4.406,-3.2,45.1406,
KRC0350C7438,국고채이자01480-7403,2024-09-20,63623,국채,4.369,4.401,-3.2,45.6179,
KRC035RP7497,국고채원금01470-7409(24-11),2024-09-20,63807,국채,4.357,4.389,-3.2,46.1062,
KR103505GE94,국고02750-7409(24-11),2024-09-10,63807,국채,4.416,4.451,-3.49999999999993,21.414,'24-11
KRC0350C7495,국고채이자01470-7409,2024-09-20,63807,국채,4.357,4.389,-3.2,46.1062,
