날짜,이슈,요약
2026-03-23,매파적 신임 한은 총재 지명,이란 전쟁 및 유가 상승 우려로 금리 상승
02월 26일,2월 금통위,현재 금리 수준 과도하다는 총재 멘트로 강세 전환
