﻿section,날짜,발행사명,등급,만기,금리,섹터
cp_term,2026-07-07,삼양홀딩스,A1,1일,2.68,일반
cp_term,2026-07-07,하이트진로,A2+,1일,2.72,일반
cp_term,2026-07-07,CJ대한통운,A1,1일,2.75,일반
cp_term,2026-07-07,하이트진로홀딩스,A2,1일,3.91,일반
cp_term,2026-07-07,두산,A3+,1일,2.96,일반
cp_term,2026-07-07,대원강업,A2,1일,2.94,일반
cp_term,2026-07-07,대동,A3,1일,4,일반
cp_term,2026-07-07,가온전선,A2,1일,3.02,일반
cp_term,2026-07-07,SK하이닉스,A1,1일,2.76,일반
cp_term,2026-07-07,LS네트웍스,A3+,1일,1.75,일반
cp_term,2026-07-07,롯데건설,A2,1일,4.72,일반
cp_term,2026-07-07,한화,A2+,1일,3.13,일반
cp_term,2026-07-07,CJ,A1,1일,2.77,일반
cp_term,2026-07-07,유진증권,A2+,1일,3.32,증권
cp_term,2026-07-07,부국증권,A2+,1일,3.18,증권
cp_term,2026-07-07,상상인증권,A3,1일,3.93,증권
cp_term,2026-07-07,세아베스틸지주,A2+,1일,4.66,지주
cp_term,2026-07-07,현대차증권,A1,1일,2.76,증권
cp_term,2026-07-07,SK증권,A2,1일,3.45,증권
cp_term,2026-07-07,신영증권,A1,1일,2.74,증권
cp_term,2026-07-07,SK네트웍스,A1,1일,3,일반
cp_term,2026-07-07,한양증권,A2,1일,3.4,증권
cp_term,2026-07-07,오리온홀딩스,A1,1일,2.68,일반
cp_term,2026-07-07,DL건설,A2-,1일,5.59,일반
cp_term,2026-07-07,넥센타이어,A2,1일,3.01,일반
cp_term,2026-07-07,케이씨씨,A1,1일,2.7,일반
cp_term,2026-07-07,세아제강지주,A2,1일,3.28,지주
cp_term,2026-07-07,코오롱글로벌,A3+,1일,6.46,일반
cp_term,2026-07-07,삼양식품,A1,1일,2.65,일반
cp_term,2026-07-07,한일홀딩스,A2+,1일,2.5,일반
cp_term,2026-07-07,에스케이에코플랜트,A2-,1일,3.41,일반
cp_term,2026-07-07,쌍용씨앤이,A2-,1일,3.72,일반
cp_term,2026-07-07,KB증권,A1,1일,2.68,증권
cp_term,2026-07-07,유안타증권,A1,1일,2.72,증권
cp_term,2026-07-07,한화투자증권,A1,1일,2.79,증권
